No	TMNo	EnNo	Name	INOUT	Mode	DateTime
278	1	5		0	1	2020/01/25 07:03:01
279	1	6		0	1	2020/01/25 07:03:07
280	1	7		0	1	2020/01/25 07:06:57
281	1	7		0	1	2020/01/25 07:06:57
282	1	10		0	1	2020/01/25 07:07:03
283	1	2		0	1	2020/01/25 11:30:02
284	1	3		0	1	2020/01/25 11:30:07
285	1	3		0	1	2020/01/25 11:30:10
286	1	7		0	1	2020/01/25 11:30:14
287	1	12		0	1	2020/01/25 11:30:24
288	1	12		0	1	2020/01/25 11:30:29
289	1	10		0	1	2020/01/25 11:30:38
290	1	10		0	1	2020/01/25 11:30:38
291	1	13		0	1	2020/01/25 11:30:57
292	1	11		0	1	2020/01/25 11:31:25
293	1	1		0	1	2020/01/25 11:31:30
294	1	1		0	1	2020/01/25 11:31:33
295	1	9		0	1	2020/01/25 11:32:02
296	1	9		0	1	2020/01/25 11:32:04
297	1	4		0	1	2020/01/25 11:33:52
298	1	5		0	1	2020/01/25 11:35:16
299	1	5		0	1	2020/01/25 11:35:17
300	1	6		0	1	2020/01/25 11:35:25
301	1	9		0	1	2020/01/25 11:57:15
302	1	9		0	1	2020/01/25 11:57:17
303	1	12		0	1	2020/01/25 11:58:42
304	1	12		0	1	2020/01/25 11:58:46
305	1	4		0	1	2020/01/25 11:58:56
306	1	13		0	1	2020/01/25 12:01:27
307	1	3		0	1	2020/01/25 12:18:36
308	1	3		0	1	2020/01/25 12:18:41
309	1	7		0	1	2020/01/25 12:25:31
310	1	10		0	1	2020/01/25 12:25:34
311	1	10		0	1	2020/01/25 12:25:34
312	1	11		0	1	2020/01/25 12:25:41
313	1	11		0	1	2020/01/25 12:25:41
314	1	1		0	1	2020/01/25 12:26:26
315	1	1		0	1	2020/01/25 12:26:30
316	1	2		0	1	2020/01/25 12:29:23
317	1	2		0	1	2020/01/25 12:29:34
318	1	5		0	1	2020/01/25 12:31:19
319	1	5		0	1	2020/01/25 12:31:19
320	1	6		0	1	2020/01/25 12:31:27
321	1	12		0	1	2020/01/25 16:00:04
322	1	12		0	1	2020/01/25 16:00:06
323	1	5		0	1	2020/01/25 16:00:09
324	1	5		0	1	2020/01/25 16:00:13
325	1	6		0	1	2020/01/25 16:00:21
326	1	11		0	1	2020/01/25 16:00:30
327	1	11		0	1	2020/01/25 16:00:30
328	1	7		0	1	2020/01/25 16:00:35
329	1	3		0	1	2020/01/25 16:00:40
330	1	10		0	1	2020/01/25 16:00:43
331	1	1		0	1	2020/01/25 16:00:47
332	1	13		0	1	2020/01/25 16:00:50
333	1	4		0	1	2020/01/25 16:00:56
334	1	9		0	1	2020/01/25 16:01:01
335	1	2		0	1	2020/01/25 16:01:06
336	1	2		0	1	2020/01/27 05:16:26
337	1	2		0	1	2020/01/27 05:16:29
338	1	3		0	1	2020/01/27 06:18:34
339	1	3		0	1	2020/01/27 06:18:34
340	1	7		0	1	2020/01/27 06:45:19
341	1	10		0	1	2020/01/27 06:45:26
342	1	9		0	1	2020/01/27 06:47:43
343	1	9		0	1	2020/01/27 06:47:47
344	1	1		0	1	2020/01/27 06:47:53
345	1	1		0	1	2020/01/27 06:47:56
346	1	12		0	1	2020/01/27 06:49:33
347	1	12		0	1	2020/01/27 06:49:35
348	1	5		0	1	2020/01/27 06:51:01
349	1	6		0	1	2020/01/27 06:51:06
350	1	6		0	1	2020/01/27 06:51:10
351	1	8		0	1	2020/01/27 06:52:03
352	1	8		0	1	2020/01/27 06:52:03
353	1	14		0	1	2020/01/27 06:55:22
354	1	11		0	1	2020/01/27 06:55:27
355	1	11		0	1	2020/01/27 06:55:30
356	1	12		0	1	2020/01/27 11:30:04
357	1	12		0	1	2020/01/27 11:30:06
358	1	9		0	1	2020/01/27 11:30:11
359	1	9		0	1	2020/01/27 11:30:11
360	1	5		0	1	2020/01/27 11:30:18
361	1	2		0	1	2020/01/27 11:30:21
362	1	8		0	1	2020/01/27 11:30:25
363	1	11		0	1	2020/01/27 11:30:30
364	1	6		0	1	2020/01/27 11:30:38
365	1	3		0	1	2020/01/27 11:30:41
366	1	7		0	1	2020/01/27 11:30:46
367	1	7		0	1	2020/01/27 11:30:46
368	1	10		0	1	2020/01/27 11:30:49
369	1	1		0	1	2020/01/27 11:30:52
370	1	14		0	1	2020/01/27 11:31:02
371	1	1		0	1	2020/01/27 11:41:40
372	1	12		0	1	2020/01/27 11:42:14
373	1	12		0	1	2020/01/27 11:42:18
374	1	9		0	1	2020/01/27 11:44:57
375	1	9		0	1	2020/01/27 11:44:59
376	1	8		0	1	2020/01/27 12:07:24
377	1	8		0	1	2020/01/27 12:07:27
378	1	5		0	1	2020/01/27 12:18:52
379	1	6		0	1	2020/01/27 12:18:57
380	1	7		0	1	2020/01/27 12:23:18
381	1	10		0	1	2020/01/27 12:23:23
382	1	14		0	1	2020/01/27 12:26:04
383	1	11		0	1	2020/01/27 12:26:35
384	1	3		0	1	2020/01/27 12:27:43
385	1	3		0	1	2020/01/27 12:27:45
386	1	2		0	1	2020/01/27 12:32:15
387	1	2		0	1	2020/01/27 12:32:20
388	1	7		0	1	2020/01/27 14:04:36
389	1	7		0	1	2020/01/27 14:04:39
390	1	10		0	1	2020/01/27 14:05:27
391	1	11		0	1	2020/01/27 16:00:04
392	1	11		0	1	2020/01/27 16:00:04
393	1	3		0	1	2020/01/27 16:00:09
394	1	3		0	1	2020/01/27 16:00:12
395	1	2		0	1	2020/01/27 16:00:15
396	1	2		0	1	2020/01/27 16:00:18
397	1	12		0	1	2020/01/27 16:00:21
398	1	12		0	1	2020/01/27 16:00:24
399	1	5		0	1	2020/01/27 16:00:27
400	1	5		0	1	2020/01/27 16:00:27
401	1	6		0	1	2020/01/27 16:00:35
402	1	6		0	1	2020/01/27 16:00:39
403	1	8		0	1	2020/01/27 16:00:43
404	1	8		0	1	2020/01/27 16:00:43
405	1	1		0	1	2020/01/27 16:00:47
406	1	14		0	1	2020/01/27 16:00:53
407	1	9		0	1	2020/01/27 16:00:58
408	1	9		0	1	2020/01/27 16:01:02
409	1	2		0	1	2020/01/28 05:58:29
410	1	2		0	1	2020/01/28 05:58:34
411	1	3		0	1	2020/01/28 06:16:27
412	1	3		0	1	2020/01/28 06:16:29
413	1	11		0	1	2020/01/28 06:46:43
414	1	11		0	1	2020/01/28 06:46:45
415	1	9		0	1	2020/01/28 06:47:13
416	1	9		0	1	2020/01/28 06:47:13
417	1	9		0	1	2020/01/28 06:47:16
418	1	9		0	1	2020/01/28 06:47:16
419	1	1		0	1	2020/01/28 06:47:26
420	1	12		0	1	2020/01/28 06:48:04
421	1	12		0	1	2020/01/28 06:48:08
422	1	8		0	1	2020/01/28 06:52:11
423	1	8		0	1	2020/01/28 06:52:15
